N,P,K,temperature,humidity,ph,rainfall,label
80.0,75.2,24.0,23.0,44.7,6.97,0,mango
75.0,100.1,166.7,27.4,42.6,5.9,0,banana
128.2,34.9,98.2,32.4,38.0,5.93,0,mango
13.2,89.1,195.3,36.8,34.6,6.9,0,banana
27.3,78.3,156.3,28.0,34.3,6.86,0,banana
70.8,33.7,105.7,23.3,29.4,6.5,0,mango
118.9,112.6,71.2,20.9,27.4,6.05,0,maize
45.9,68.4,78.8,25.1,25.0,6.36,0,mango
103.5,62.8,186.8,25.3,25.0,6.19,0,banana
106.3,64.1,93.2,32.8,42.2,5.77,0,cotton
10.2,17.9,148.3,23.1,40.1,6.12,0,mango
100.5,138.8,143.2,26.9,44.7,6.29,0,maize
40.6,140.1,194.3,21.9,59.9,6.39,0,banana
71.4,122.8,35.6,15.1,58.1,6.77,1,mango
73.2,24.2,77.0,23.8,67.7,6.61,0,mango
49.1,28.2,90.9,30.1,59.9,5.99,0,mango
77.9,69.5,161.8,28.5,60.7,6.69,0,banana
97.7,117.1,193.1,20.1,59.0,6.83,1,banana
103.2,25.6,138.5,24.8,69.0,6.7,0,mango
56.4,118.8,93.4,18.8,63.5,5.6,0,cotton
108.9,6.0,92.0,20.5,66.4,6.73,1,mango
17.2,80.8,128.5,25.5,78.5,6.19,0,mango
27.2,36.4,122.1,26.8,74.7,6.49,1,mango
111.7,125.0,16.6,32.2,82.0,5.75,0,maize
45.7,28.7,181.0,24.9,84.6,6.96,0,banana
35.7,66.8,150.3,19.9,84.0,6.86,0,banana
115.0,82.0,42.1,21.6,82.3,6.5,0,maize
46.6,118.1,18.7,20.5,82.0,5.55,1,rice
65.5,23.8,74.6,24.8,90.6,6.55,0,mango
132.3,144.0,57.1,26.5,86.5,6.39,0,maize
122.6,90.3,180.2,22.4,83.3,6.66,0,banana
45.3,43.8,33.5,25.0,84.2,5.54,0,cotton
64.4,30.4,111.6,18.2,81.9,6.04,0,mango
51.2,108.2,41.2,21.4,81.5,6.3,0,mango
36.8,133.6,171.5,27.7,79.1,6.07,0,banana
58.0,37.6,98.0,29.5,73.3,5.66,0,cotton
59.7,96.0,126.1,28.5,70.4,6.88,0,mango
18.0,109.3,194.5,25.8,64.9,6.63,0,banana
102.6,96.9,38.7,24.2,60.0,6.51,0,maize
134.2,64.4,125.8,22.7,60.9,6.96,0,mango
34.4,48.1,58.0,22.3,61.1,6.64,0,mango
21.9,130.4,100.1,25.2,62.9,6.39,0,mango
116.2,93.1,57.2,31.5,57.5,6.53,0,maize
28.9,120.8,123.2,31.5,54.2,6.68,0,mango
43.6,123.6,92.1,23.1,53.5,6.44,0,mango
118.6,18.9,136.0,20.6,47.8,6.84,0,mango
69.5,130.4,21.2,19.4,49.6,6.31,0,mango
52.6,9.9,156.9,21.9,46.5,6.34,1,banana
53.8,142.9,32.6,27.1,57.4,6.4,0,mango
105.2,56.9,80.5,30.8,54.7,5.58,0,cotton
93.7,51.1,21.6,23.1,50.8,6.83,1,mango
135.9,61.7,41.2,26.7,63.3,5.87,0,cotton
111.1,23.9,197.5,22.6,63.8,5.75,0,banana
15.6,135.3,79.9,22.7,62.0,6.3,0,mango
23.8,25.9,41.4,22.5,61.5,5.64,0,cotton
16.1,137.8,27.8,34.7,62.8,5.58,0,cotton
109.2,136.3,101.6,32.2,57.2,5.82,0,maize
139.9,11.7,85.9,26.2,72.8,5.51,0,cotton
89.2,60.8,172.7,24.1,74.2,6.73,0,banana
123.3,105.5,29.1,21.3,73.5,6.8,0,maize
118.3,38.3,139.6,22.4,72.1,6.26,1,mango
110.8,32.4,102.9,25.9,77.9,6.06,0,mango
51.1,130.0,112.2,28.4,74.5,6.9,0,mango
113.1,12.3,171.3,30.8,70.9,5.56,0,banana
73.2,97.0,154.4,25.4,68.7,6.93,0,banana
119.0,132.9,40.3,19.2,65.2,5.66,0,maize
13.7,76.8,164.6,19.7,59.8,6.61,1,banana
24.1,121.6,56.4,20.2,71.3,6.6,1,mango
105.4,118.1,146.3,22.4,79.7,5.74,0,maize
43.3,38.0,38.7,26.2,80.2,6.95,0,mango
69.8,43.4,10.8,23.6,71.5,6.03,0,mango
45.9,68.0,191.1,25.1,72.7,6.21,0,banana
46.6,70.9,199.1,20.1,72.9,6.47,0,banana
102.6,122.6,80.3,16.1,69.1,6.01,1,maize
102.6,43.5,190.8,16.8,84.2,6.14,1,rice
41.4,66.2,184.5,29.6,92.8,6.31,0,banana
58.9,142.4,31.9,27.6,89.6,6.03,0,mango
121.5,36.4,78.1,23.1,92.1,6.83,0,mango
138.9,44.4,47.5,25.3,94.4,6.93,0,mango
82.5,96.9,31.0,18.6,94.2,6.23,0,mango
132.7,134.1,197.4,23.7,94.8,6.87,0,banana
129.1,43.0,72.5,22.1,94.4,5.57,0,cotton
55.9,57.4,186.5,30.2,92.8,6.41,0,banana
27.9,39.8,82.5,32.2,89.7,6.73,0,mango
84.7,136.0,175.5,25.1,89.5,5.84,0,banana
36.9,62.8,136.0,20.9,84.9,5.65,0,cotton
36.5,125.7,146.0,20.8,80.4,6.02,0,mango
101.1,77.8,112.6,19.3,77.8,6.12,1,rice
112.0,120.9,34.3,22.8,85.8,6.98,0,maize
57.7,17.4,87.1,29.0,77.0,6.26,0,mango
20.3,28.0,14.2,27.7,75.6,6.55,0,mango
23.2,139.4,184.3,17.7,77.1,5.65,1,rice
84.1,56.6,101.0,13.7,86.0,6.94,1,rice
85.9,106.5,110.5,16.4,93.5,5.91,1,rice
53.9,140.0,104.7,22.3,95.0,6.45,0,mango
127.3,7.2,179.4,28.6,89.0,6.22,0,banana
72.0,10.5,71.8,31.5,85.3,6.23,0,mango
134.3,133.4,123.9,20.6,81.9,6.04,1,rice
52.0,6.4,201.3,21.0,90.2,6.41,1,rice
79.8,91.5,140.4,18.7,94.8,6.95,0,mango
39.5,38.9,111.8,22.5,93.6,6.37,0,mango
13.9,56.6,156.2,25.1,94.6,5.84,0,banana
94.9,129.9,24.4,33.6,93.3,6.55,0,mango
128.2,132.0,25.3,32.4,89.3,5.77,0,maize
