timestamp,nitrogenio,fosforo,potassio,chuva,hora,dia,umidade,ph,rendimento,umidade_pred,ph_pred,rendimento_pred
2025-01-01 06:00:00,80.0,75.2,24.0,0,6,1,44.7,6.97,39.66,37.93,6.285,39.6
2025-01-01 09:36:00,75.0,100.1,166.7,0,9,1,42.6,5.9,48.81,38.67,6.373,54.6
2025-01-01 13:12:00,128.2,34.9,98.2,0,13,1,38.0,5.93,44.73,36.24,6.284,49.77
2025-01-01 16:48:00,13.2,89.1,195.3,0,16,1,34.6,6.9,43.51,36.33,6.425,42.84
2025-01-01 20:24:00,27.3,78.3,156.3,0,20,1,34.3,6.86,40.97,36.79,6.387,40.4
2025-01-02 00:00:00,70.8,33.7,105.7,0,0,2,29.4,6.5,36.8,31.49,6.337,40.13
2025-01-02 03:36:00,118.9,112.6,71.2,0,3,2,27.4,6.05,51.62,32.02,6.291,57.4
2025-01-02 07:12:00,45.9,68.4,78.8,0,7,2,25.0,6.36,32.69,30.04,6.337,37.11
2025-01-02 10:48:00,103.5,62.8,186.8,0,10,2,25.0,6.19,53.67,31.04,6.357,57.27
2025-01-02 14:24:00,106.3,64.1,93.2,0,14,2,42.2,5.77,42.51,33.67,6.296,49.38
2025-01-02 18:00:00,10.2,17.9,148.3,0,18,2,40.1,6.12,23.26,35.33,6.386,28.46
2025-01-02 21:36:00,100.5,138.8,143.2,0,21,2,44.7,6.29,59.92,38.42,6.333,62.6
2025-01-03 01:12:00,40.6,140.1,194.3,0,1,3,59.9,6.39,52.91,63.66,6.42,57.16
2025-01-03 04:48:00,71.4,122.8,35.6,1,4,3,58.1,6.77,44.18,63.68,6.34,46.26
2025-01-03 08:24:00,73.2,24.2,77.0,0,8,3,67.7,6.61,38.34,66.75,6.307,36.62
2025-01-03 12:00:00,49.1,28.2,90.9,0,12,3,59.9,5.99,26.55,69.49,6.329,33.35
2025-01-03 15:36:00,77.9,69.5,161.8,0,15,3,60.7,6.69,50.4,68.08,6.354,50.96
2025-01-03 19:12:00,97.7,117.1,193.1,1,19,3,59.0,6.83,64.79,62.08,6.401,63.79
2025-01-03 22:48:00,103.2,25.6,138.5,0,22,3,69.0,6.7,52.3,67.63,6.31,47.36
2025-01-04 02:24:00,56.4,118.8,93.4,0,2,4,63.5,5.6,40.25,69.56,6.344,48.71
2025-01-04 06:00:00,108.9,6.0,92.0,1,6,4,66.4,6.73,45.0,70.62,6.328,42.86
2025-01-04 09:36:00,17.2,80.8,128.5,0,9,4,78.5,6.19,42.54,77.0,6.38,38.28
2025-01-04 13:12:00,27.2,36.4,122.1,1,13,4,74.7,6.49,37.76,75.58,6.4,33.01
2025-01-04 16:48:00,111.7,125.0,16.6,0,16,4,82.0,5.75,57.03,76.79,6.248,52.81
2025-01-04 20:24:00,45.7,28.7,181.0,0,20,4,84.6,6.96,55.2,79.57,6.375,40.69
2025-01-05 00:00:00,35.7,66.8,150.3,0,0,5,84.0,6.86,54.31,80.53,6.384,43.01
2025-01-05 03:36:00,115.0,82.0,42.1,0,3,5,82.3,6.5,59.47,80.31,6.265,51.07
2025-01-05 07:12:00,46.6,118.1,18.7,1,7,5,82.0,5.55,41.0,78.73,6.339,39.82
2025-01-05 10:48:00,65.5,23.8,74.6,0,10,5,90.6,6.55,49.08,83.7,6.304,35.55
2025-01-05 14:24:00,132.3,144.0,57.1,0,14,5,86.5,6.39,74.86,81.85,6.26,63.74
2025-01-05 18:00:00,122.6,90.3,180.2,0,18,5,83.3,6.66,77.35,75.6,6.328,65.07
2025-01-05 21:36:00,45.3,43.8,33.5,0,21,5,84.2,5.54,33.11,81.42,6.287,29.9
2025-01-06 01:12:00,64.4,30.4,111.6,0,1,6,81.9,6.04,45.0,77.36,6.333,40.59
2025-01-06 04:48:00,51.2,108.2,41.2,0,4,6,81.5,6.3,47.53,77.39,6.308,42.27
2025-01-06 08:24:00,36.8,133.6,171.5,0,8,6,79.1,6.07,57.76,75.1,6.395,54.3
2025-01-06 12:00:00,58.0,37.6,98.0,0,12,6,73.3,5.66,35.84,74.5,6.32,38.36
2025-01-06 15:36:00,59.7,96.0,126.1,0,15,6,70.4,6.88,53.48,71.46,6.341,49.12
2025-01-06 19:12:00,18.0,109.3,194.5,0,19,6,64.9,6.63,48.24,68.55,6.408,48.5
2025-01-06 22:48:00,102.6,96.9,38.7,0,22,6,60.0,6.51,45.86,69.23,6.253,49.53
2025-01-07 02:24:00,134.2,64.4,125.8,0,2,7,60.9,6.96,60.16,62.07,6.294,60.86
2025-01-07 06:00:00,34.4,48.1,58.0,0,6,7,61.1,6.64,27.89,60.28,6.317,32.37
2025-01-07 09:36:00,21.9,130.4,100.1,0,9,7,62.9,6.39,40.04,60.23,6.359,44.87
2025-01-07 13:12:00,116.2,93.1,57.2,0,13,7,57.5,6.53,50.19,59.47,6.26,54.4
2025-01-07 16:48:00,28.9,120.8,123.2,0,16,7,54.2,6.68,42.74,57.45,6.36,46.53
