timestamp,umidade,ph,nitrogenio,fosforo,potassio,chuva,irrigacao
2025-01-01 06:00,44.7,6.97,80.0,75.2,24.0,0,0
2025-01-01 09:36,42.6,5.9,75.0,100.1,166.7,0,0
2025-01-01 13:12,38.0,5.93,128.2,34.9,98.2,0,0
2025-01-01 16:48,34.6,6.9,13.2,89.1,195.3,0,0
2025-01-01 20:24,34.3,6.86,27.3,78.3,156.3,0,0
2025-01-02 00:00,29.4,6.5,70.8,33.7,105.7,0,0
2025-01-02 03:36,27.4,6.05,118.9,112.6,71.2,0,0
2025-01-02 07:12,25.0,6.36,45.9,68.4,78.8,0,0
2025-01-02 10:48,25.0,6.19,103.5,62.8,186.8,0,1
2025-01-02 14:24,42.2,5.77,106.3,64.1,93.2,0,0
2025-01-02 18:00,40.1,6.12,10.2,17.9,148.3,0,0
2025-01-02 21:36,44.7,6.29,100.5,138.8,143.2,0,1
2025-01-03 01:12,59.9,6.39,40.6,140.1,194.3,0,0
2025-01-03 04:48,58.1,6.77,71.4,122.8,35.6,1,0
2025-01-03 08:24,67.7,6.61,73.2,24.2,77.0,0,0
2025-01-03 12:00,59.9,5.99,49.1,28.2,90.9,0,0
2025-01-03 15:36,60.7,6.69,77.9,69.5,161.8,0,0
2025-01-03 19:12,59.0,6.83,97.7,117.1,193.1,1,0
2025-01-03 22:48,69.0,6.7,103.2,25.6,138.5,0,0
2025-01-04 02:24,63.5,5.6,56.4,118.8,93.4,0,0
2025-01-04 06:00,66.4,6.73,108.9,6.0,92.0,1,0
2025-01-04 09:36,78.5,6.19,17.2,80.8,128.5,0,0
2025-01-04 13:12,74.7,6.49,27.2,36.4,122.1,1,0
2025-01-04 16:48,82.0,5.75,111.7,125.0,16.6,0,0
2025-01-04 20:24,84.6,6.96,45.7,28.7,181.0,0,0
2025-01-05 00:00,84.0,6.86,35.7,66.8,150.3,0,0
2025-01-05 03:36,82.3,6.5,115.0,82.0,42.1,0,0
2025-01-05 07:12,82.0,5.55,46.6,118.1,18.7,1,0
2025-01-05 10:48,90.6,6.55,65.5,23.8,74.6,0,0
2025-01-05 14:24,86.5,6.39,132.3,144.0,57.1,0,0
2025-01-05 18:00,83.3,6.66,122.6,90.3,180.2,0,0
2025-01-05 21:36,84.2,5.54,45.3,43.8,33.5,0,0
2025-01-06 01:12,81.9,6.04,64.4,30.4,111.6,0,0
2025-01-06 04:48,81.5,6.3,51.2,108.2,41.2,0,0
2025-01-06 08:24,79.1,6.07,36.8,133.6,171.5,0,0
2025-01-06 12:00,73.3,5.66,58.0,37.6,98.0,0,0
2025-01-06 15:36,70.4,6.88,59.7,96.0,126.1,0,0
2025-01-06 19:12,64.9,6.63,18.0,109.3,194.5,0,0
2025-01-06 22:48,60.0,6.51,102.6,96.9,38.7,0,0
2025-01-07 02:24,60.9,6.96,134.2,64.4,125.8,0,0
2025-01-07 06:00,61.1,6.64,34.4,48.1,58.0,0,0
2025-01-07 09:36,62.9,6.39,21.9,130.4,100.1,0,0
2025-01-07 13:12,57.5,6.53,116.2,93.1,57.2,0,0
2025-01-07 16:48,54.2,6.68,28.9,120.8,123.2,0,0
2025-01-07 20:24,53.5,6.44,43.6,123.6,92.1,0,0
2025-01-08 00:00,47.8,6.84,118.6,18.9,136.0,0,0
2025-01-08 03:36,49.6,6.31,69.5,130.4,21.2,0,0
2025-01-08 07:12,46.5,6.34,52.6,9.9,156.9,1,0
2025-01-08 10:48,57.4,6.4,53.8,142.9,32.6,0,0
